Gene_Name,Correlation,P_Value
TFCP2L1,0.145874166081342,P < 0.001
RGS18,0.232976115302282,P < 0.001
SLFN14,0.150919566113914,P < 0.001
TRAIP,0.140541307193833,P < 0.001
RAD52,0.206084174576216,P < 0.001
ADRB3,0.220134954591561,P < 0.001
RASSF2,0.261528963426221,P < 0.001
BHLHE40,0.16927653411655,P < 0.001
ZNF208,0.141592670406057,P < 0.001
NDRG1_ENST00000522476,0.133738932416873,P < 0.001
SCFD2,0.149062051359894,P < 0.001
B3GNTL1,0.175473694584429,P < 0.001
PDE6B,0.213196084106487,P < 0.001
ZDHHC7,0.235641236559373,P < 0.001
MRGPRX1,0.129225154447891,P < 0.001
ANKRD55,0.139176289412003,P < 0.001
PRR23B,0.121739422926795,P < 0.001
BMP2K,0.222472123028118,P < 0.001
RCBTB1,0.242550609618328,P < 0.001
TMEM132A,0.192787354196612,P < 0.001
C4orf50,0.122279625252298,P < 0.001
PEA15,0.219926008773,P < 0.001
SELL,0.196301959044645,P < 0.001
GDI2,0.184454846822042,P < 0.001
ANKMY2,0.211992214243968,P < 0.001
ATRAID,0.17699148985278,P < 0.001
CORO1A,0.320306031971454,P < 0.001
DCP1A,0.30403511257163,P < 0.001
NCKAP5L,0.117514937387832,P < 0.001
PLEKHJ1,0.135756093005117,P < 0.001
ZNF654,0.23168277261704,P < 0.001
TOM1L2,0.258649109780766,P < 0.001
TMEM156,0.157617123004948,P < 0.001
TFIP11,0.197195854292297,P < 0.001
NR2F6,0.360789886939578,P < 0.001
ZEB2,0.2572905191375,P < 0.001
P2RY8,0.33513234776221,P < 0.001
YWHAZ,0.135563196732374,P < 0.001
SRSF1,0.2170325302735,P < 0.001
TMPRSS12,0.158536957385467,P < 0.001
LANCL1,0.120808380857656,P < 0.001
LGALS8,0.165870029004732,P < 0.001
CLK4,0.206148133838058,P < 0.001
NAT10,0.236844946291805,P < 0.001
CTNNBL1,0.181298280420561,P < 0.001
QSOX1,0.245469815840043,P < 0.001
JARID2,0.244233152810707,P < 0.001
TMOD3,0.19217250550187,P < 0.001
SUSD2,0.164229845146111,P < 0.001
IFT57,0.124331845538349,P < 0.001
SCML1,0.137701486018105,P < 0.001
PIAS3,0.17187295156248,P < 0.001
EPHA2,0.322706649537934,P < 0.001
NPY5R,0.166838599627936,P < 0.001
DCC,0.156452931747811,P < 0.001
PLAC8L1,0.132088394165231,P < 0.001
HIST1H2AL,0.174932466936225,P < 0.001
WWTR1,0.271912037131275,P < 0.001
NANOS3,0.139116182029714,P < 0.001
GMFG,0.28571069135225,P < 0.001
BRD4,0.252556549628208,P < 0.001
CLEC11A,0.238409673698806,P < 0.001
RGS19,0.219749231751749,P < 0.001
TMEM204,0.161734851794133,P < 0.001
KCNH5,0.133026725268911,P < 0.001
HSPA12A,0.142500439989912,P < 0.001
XIRP2,0.179994056692626,P < 0.001
COQ8A_ENST00000366777,0.181558228994279,P < 0.001
PLEKHG6,0.190939655729439,P < 0.001
METTL22,0.154120662850834,P < 0.001
PRRG2,0.201832577684147,P < 0.001
KLHL20,0.12651440728143,P < 0.001
NME9,0.14948821993455,P < 0.001
LRRC2,0.144211182727487,P < 0.001
ZNF581,0.210140811083784,P < 0.001
ALOX5AP,0.282409170717379,P < 0.001
CTNNB1,0.168250486420692,P < 0.001
CARS,0.165426725403429,P < 0.001
PHLDB1,0.183275159835419,P < 0.001
KRT85,0.129965507747962,P < 0.001
IL26,0.131167871659668,P < 0.001
RPL35A,0.12377588566779,P < 0.001
ZNFX1,0.13773925630901,P < 0.001
FLNB,0.274606610679385,P < 0.001
DTX3,0.158041950743503,P < 0.001
THOC7,0.165462463360614,P < 0.001
HIST1H3F,0.1957204546349,P < 0.001
KAT6B,0.156838538193028,P < 0.001
USP44,0.210436264033528,P < 0.001
ESRP2,0.301561108249112,P < 0.001
RPS23,0.273954991566966,P < 0.001
ORMDL2,0.27872260428212,P < 0.001
EFTUD2,0.156595588846244,P < 0.001
WDR48,0.180670351813805,P < 0.001
SBDS,0.276079927663075,P < 0.001
EBI3,0.1249283670831,P < 0.001
IGF2BP2,0.141718172824473,P < 0.001
ABCE1,0.227044103915234,P < 0.001
RAB25,0.178636319932387,P < 0.001
STAT5B,0.286678612786031,P < 0.001
RCAN3,0.152289882698857,P < 0.001
TTN,0.168790725886809,P < 0.001
ZNF431,0.231909311272754,P < 0.001
SEC31B,0.339089144334614,P < 0.001
IQCB1,0.300178221904725,P < 0.001
WDR86,0.184539928771199,P < 0.001
ST6GAL1,0.21553795774582,P < 0.001
SNRNP27,0.175168318045537,P < 0.001
DNAH6,0.131606500987642,P < 0.001
SELPLG,0.236669579404387,P < 0.001
KLHDC3,0.124407364385872,P < 0.001
SETMAR,0.136425713683942,P < 0.001
WDR7,0.230514965615091,P < 0.001
PHACTR1,0.249478273364961,P < 0.001
CYHR1,0.138655312179605,P < 0.001
NUP107,0.153540212269211,P < 0.001
POLA1,0.187610997822903,P < 0.001
ZNF215,0.126601033011382,P < 0.001
C5orf15,0.142984466483911,P < 0.001
NRBP1,0.152838994492805,P < 0.001
CREM,0.122506293518027,P < 0.001
SKIL,0.216617541528493,P < 0.001
PLOD2,0.163769106977861,P < 0.001
ITPK1,0.135543293413544,P < 0.001
MAB21L4,0.152049260220629,P < 0.001
RAD51D,0.1330329109403,P < 0.001
MGRN1,0.11750511742264,P < 0.001
MMS22L,0.216955702449688,P < 0.001
ZNF681,0.1385171623717,P < 0.001
SDF2,0.244468271776237,P < 0.001
CHKA,0.226583487048363,P < 0.001
UACA,0.274313340514797,P < 0.001
FCGR2B,0.206058032331279,P < 0.001
ZNF749,0.169704091061282,P < 0.001
TCF7L1,0.134027560628066,P < 0.001
SUCLG2,0.131967183794577,P < 0.001
LMO2,0.229275410279862,P < 0.001
CHAF1A,0.236056436675206,P < 0.001
HPS4,0.206082720420888,P < 0.001
FZD6,0.239440088280118,P < 0.001
RHBDL2,0.128293107436939,P < 0.001
MBD3,0.223646283525872,P < 0.001
FAM3A,0.222218266288109,P < 0.001
SNRPF,0.252620425276082,P < 0.001
LOXHD1,0.21341810277506,P < 0.001
DDX21,0.197607272985875,P < 0.001
RAB32,0.199701952636018,P < 0.001
AMELY,0.221294107094695,P < 0.001
TIMM13,0.196895525186104,P < 0.001
GAS2L3,0.235645606220419,P < 0.001
PDZRN4,0.176099289158592,P < 0.001
MIIP,0.128231829466017,P < 0.001
TOMM40L,0.160474849361816,P < 0.001
CTSW,0.155771056177821,P < 0.001
TMPRSS2,0.149353509395119,P < 0.001
IKBKE,0.151733056637592,P < 0.001
RBKS,0.146022917083144,P < 0.001
USHBP1,0.156068022596923,P < 0.001
ARF6,0.16850162349043,P < 0.001
SPATA18,0.183317685491257,P < 0.001
HMOX1,0.221832909140336,P < 0.001
SAR1B,0.166305664205938,P < 0.001
ZNF24,0.204637304381099,P < 0.001
CALCRL,0.129008969764739,P < 0.001
ANKRD7,0.156507808154999,P < 0.001
TKTL2,0.154774371722856,P < 0.001
IRF4,0.273007043027655,P < 0.001
TSPEAR,0.164792614647088,P < 0.001
WFDC8,0.175320895054778,P < 0.001
ZNF26,0.133209297016184,P < 0.001
SF3A1,0.251687071810933,P < 0.001
CASP3,0.233848382214348,P < 0.001
PDZD11,0.234377837701162,P < 0.001
INCENP,0.135487999697024,P < 0.001
RPS6KA1,0.165470046559227,P < 0.001
CRB3,0.260730197105061,P < 0.001
CDC123,0.128069217430704,P < 0.001
